Month,test,real
2015/2/1,-6.286725704,-6.286725704
2015/3/1,2.898071936,2.898071936
2015/4/1,2.882814295,2.882814295
2015/5/1,7.385031541,7.385031541
2015/6/1,7.771793632,7.771793632
2015/7/1,,4.277815965
2015/8/1,1.631061474,1.631061474
2015/9/1,-5.539399887,-5.539399887
2015/10/1,-7.977744609,-7.977744609
2015/11/1,-9.118133571,-9.118133571
2015/12/1,-9.401869856,-9.401869856
2016/1/1,-7.263502443,-7.263502443
2016/2/1,-4.904930668,-4.904930668
2016/3/1,-1.376492261,-1.376492261
2016/4/1,5.628407126,5.628407126
2016/5/1,4.355443759,4.355443759
2016/6/1,9.774799555,9.774799555
2016/7/1,,10.64137384
2016/8/1,9.452628929,9.452628929
2016/9/1,4.588756737,4.588756737
2016/10/1,1.050079609,1.050079609
2016/11/1,0.986000249,0.986000249
2016/12/1,-0.997619754,-0.997619754
2017/1/1,-0.808541231,-0.808541231
2017/2/1,1.435695281,1.435695281
2017/3/1,6.556736686,6.556736686
2017/4/1,7.028330511,7.028330511
2017/5/1,6.908322758,6.908322758
2017/6/1,10.62322962,10.62322962
2017/7/1,,5.853517957
2017/8/1,,0.426280848
2017/9/1,,0.469998794
2017/10/1,,-3.850203236
2017/11/1,,-6.652984036
2017/12/1,,-9.436482579
2018/1/1,,-6.371336707
2018/2/1,,-4.443465615
2018/3/1,,-2.151165854
2018/4/1,,-0.220928472
2018/5/1,,2.736370008
2018/6/1,,5.61764386
2018/7/1,,8.329615395
2018/8/1,,3.292226673
2018/9/1,,-3.954886821
2018/10/1,,-7.311297527
2018/11/1,,-3.478464949
2018/12/1,,-6.483819279
2019/1/1,,-3.037491474
2019/2/1,,0.547982499
2019/3/1,,5.044553431
